"date","cases","deaths","daily_cases","daily_deaths","st_cnty"
2020-03-07,1,0,0,0,"DC:District of Columbia"
2020-03-08,1,0,0,0,"DC:District of Columbia"
2020-03-09,4,0,3,0,"DC:District of Columbia"
2020-03-10,4,0,0,0,"DC:District of Columbia"
2020-03-11,10,0,6,0,"DC:District of Columbia"
2020-03-12,10,0,0,0,"DC:District of Columbia"
2020-03-13,10,0,0,0,"DC:District of Columbia"
2020-03-14,16,0,6,0,"DC:District of Columbia"
2020-03-15,17,0,1,0,"DC:District of Columbia"
2020-03-16,22,0,5,0,"DC:District of Columbia"
2020-03-17,31,0,9,0,"DC:District of Columbia"
2020-03-18,36,0,5,0,"DC:District of Columbia"
2020-03-19,39,0,3,0,"DC:District of Columbia"
2020-03-20,71,0,32,0,"DC:District of Columbia"
2020-03-21,77,1,6,1,"DC:District of Columbia"
2020-03-22,98,1,21,0,"DC:District of Columbia"
2020-03-23,116,2,18,1,"DC:District of Columbia"
2020-03-24,137,2,21,0,"DC:District of Columbia"
2020-03-25,183,2,46,0,"DC:District of Columbia"
2020-03-26,231,3,48,1,"DC:District of Columbia"
2020-03-27,267,3,36,0,"DC:District of Columbia"
2020-03-28,304,4,37,1,"DC:District of Columbia"
2020-03-29,342,5,38,1,"DC:District of Columbia"
2020-03-30,401,9,59,4,"DC:District of Columbia"
2020-03-31,495,9,94,0,"DC:District of Columbia"
2020-04-01,586,11,91,2,"DC:District of Columbia"
2020-04-02,653,12,67,1,"DC:District of Columbia"
2020-04-03,757,15,104,3,"DC:District of Columbia"
2020-04-04,902,21,145,6,"DC:District of Columbia"
2020-04-05,998,22,96,1,"DC:District of Columbia"
2020-04-06,1097,24,99,2,"DC:District of Columbia"
2020-04-07,1211,24,114,0,"DC:District of Columbia"
2020-04-08,1440,27,229,3,"DC:District of Columbia"
2020-04-09,1523,32,83,5,"DC:District of Columbia"
2020-04-10,1660,38,137,6,"DC:District of Columbia"
2020-04-11,1778,47,118,9,"DC:District of Columbia"
2020-04-12,1875,50,97,3,"DC:District of Columbia"
2020-04-13,1955,52,80,2,"DC:District of Columbia"
2020-04-14,2058,67,103,15,"DC:District of Columbia"
2020-04-15,2197,72,139,5,"DC:District of Columbia"
2020-04-16,2350,81,153,9,"DC:District of Columbia"
2020-04-17,2476,86,126,5,"DC:District of Columbia"
2020-04-18,2666,91,190,5,"DC:District of Columbia"
