"county","2020-03-07","2020-03-08","2020-03-09","2020-03-10","2020-03-11","2020-03-12","2020-03-13","2020-03-14","2020-03-15","2020-03-16","2020-03-17","2020-03-18","2020-03-19","2020-03-20","2020-03-21","2020-03-22","2020-03-23","2020-03-24","2020-03-25","2020-03-26","2020-03-27","2020-03-28","2020-03-29","2020-03-30","2020-03-31","2020-04-01","2020-04-02","2020-04-03","2020-04-04","2020-04-05","2020-04-06","2020-04-07","2020-04-08","2020-04-09","2020-04-10","2020-04-11","2020-04-12","2020-04-13","2020-04-14","2020-04-15","2020-04-16","2020-04-17","2020-04-18","2020-04-19","2020-04-20","2020-04-21","2020-04-22","2020-04-23","2020-04-24","2020-04-25","2020-04-26","2020-04-27","2020-04-28","2020-04-29","2020-04-30","2020-05-01","2020-05-02","2020-05-03","2020-05-04","2020-05-05","2020-05-06","2020-05-07","2020-05-08","2020-05-09","2020-05-10","2020-05-11","2020-05-12","2020-05-13","2020-05-14","2020-05-15","2020-05-16","2020-05-17","2020-05-18","2020-05-19","2020-05-20","2020-05-21","2020-05-22","2020-05-23","2020-05-24","2020-05-25","2020-05-26","2020-05-27","2020-05-28","2020-05-29","2020-05-30","2020-05-31","2020-06-01","2020-06-02","2020-06-03","2020-06-04","2020-06-05","2020-06-06","2020-06-07","2020-06-08","2020-06-09","2020-06-10","2020-06-11","2020-06-12","2020-06-13","2020-06-14","2020-06-15","2020-06-16","2020-06-17","2020-06-18","2020-06-19","2020-06-20","2020-06-21","2020-06-22","2020-06-23","2020-06-24","2020-06-25","2020-06-26","2020-06-27","2020-06-28","2020-06-29","NA"
"DC:District of Columbia",1,1,4,4,10,10,10,16,17,22,31,36,39,71,77,98,116,137,183,231,267,304,342,401,495,586,653,757,902,998,1097,1211,1440,1523,1660,1778,1875,1955,2058,2197,2350,2476,2666,2793,2927,3098,3206,3361,3528,3699,3841,3892,3994,4106,4323,4658,4797,5016,5170,5322,5461,5654,5899,6102,6272,6389,6485,6584,6736,6871,7042,7123,7270,7434,7551,7788,7893,7966,8110,8225,8334,8406,8492,8538,8717,8801,8857,8886,9016,9120,9199,9269,9332,9389,9474,9537,9589,9654,9709,9767,9799,9818,9847,9903,9952,9984,10020,10058,10094,10128,10159,10185,10216,10248,0,0
"MD:Anne Arundel",0,0,0,0,0,0,1,1,2,2,3,4,5,10,16,19,20,24,31,42,63,88,99,110,127,158,206,249,289,319,343,370,466,505,554,615,659,724,783,850,902,972,1012,1053,1104,1164,1197,1301,1380,1438,1518,1552,1579,1670,1733,1815,1893,1967,2026,2054,2094,2203,2300,2381,2472,2501,2530,2606,2670,2760,2809,2864,2901,2989,3041,3140,3215,3290,3315,3365,3402,3457,3565,3652,3752,3794,3851,3933,4018,4089,4159,4219,4245,4276,4318,4357,4430,4462,4531,4616,4632,4760,4805,4844,4871,4889,4913,4925,4955,4965,4993,5013,5050,5063,0,0
"MD:Baltimore",0,0,0,0,1,1,2,3,3,4,4,7,13,13,19,28,35,42,51,81,103,141,162,186,227,289,353,427,491,590,648,652,866,979,1072,1173,1257,1361,1377,1490,1522,1576,1671,1739,1881,1932,2021,2141,2243,2397,2519,2559,2644,2754,2844,3026,3197,3315,3463,3445,3541,3676,3778,3753,3878,3964,4067,4175,4306,4416,4566,4642,4767,4936,5041,5150,5185,5305,5388,5491,5513,5578,5693,5835,5970,6080,6315,6401,6473,6492,6606,6713,6770,6831,6871,6935,7005,7071,7128,7172,7220,7269,7350,7393,7425,7502,7560,7608,7658,7675,7732,7790,7822,7869,0,0
"MD:Calvert",0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,3,3,7,9,9,14,12,15,18,22,30,33,39,40,41,56,66,76,82,90,94,99,102,103,109,109,113,114,116,118,121,125,130,134,138,139,142,150,161,161,163,172,175,185,189,192,203,207,210,212,215,226,229,238,242,246,256,260,279,292,299,305,308,310,316,321,330,335,342,350,353,349,353,354,355,359,363,364,364,367,371,374,376,377,381,383,386,390,394,395,398,399,403,404,405,409,411,0,0
"MD:Carroll",0,0,0,0,0,0,0,1,1,1,1,1,2,4,4,4,5,5,5,7,9,83,83,83,94,96,105,129,134,142,150,159,186,203,214,214,236,250,259,264,285,290,310,314,336,330,344,355,372,384,391,403,416,421,436,460,480,494,506,513,521,534,542,551,560,583,589,595,619,635,633,646,703,712,721,734,757,767,785,804,813,821,843,863,881,914,916,929,943,950,963,953,955,957,966,972,979,980,986,992,995,990,1008,1012,1030,1030,1032,1033,1063,1084,1103,1106,1106,1107,0,0
"MD:Cecil",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,4,4,9,13,13,13,14,16,20,25,33,36,37,41,49,54,64,66,74,83,85,90,101,127,131,131,134,134,134,140,144,146,154,163,163,164,167,176,187,188,194,195,200,208,211,219,242,267,270,271,291,300,308,308,318,323,328,331,339,342,345,348,353,354,356,364,366,371,369,377,381,388,393,399,404,408,417,423,429,435,440,444,446,451,456,457,460,461,461,462,462,465,461,463,474,474,0,0
"MD:Charles",0,0,0,0,0,0,1,1,1,1,1,2,2,2,4,5,5,5,8,10,17,21,28,33,40,56,69,90,95,111,129,136,164,180,220,235,253,274,292,310,327,337,347,370,393,402,428,443,460,484,505,530,540,552,565,613,624,640,654,663,673,701,719,730,749,757,762,779,798,831,846,861,869,896,922,944,958,971,991,999,1003,1009,1028,1057,1086,1109,1121,1134,1153,1176,1187,1198,1204,1213,1218,1233,1237,1250,1266,1271,1274,1279,1293,1296,1296,1306,1315,1330,1335,1343,1352,1359,1364,1373,0,0
"MD:Dorchester",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,3,4,7,7,8,9,12,14,16,18,20,20,21,23,25,28,31,32,38,46,51,52,51,51,54,59,71,75,76,79,85,86,91,95,98,102,102,104,107,111,111,122,122,122,124,126,126,127,128,130,133,136,140,141,142,142,144,147,152,153,154,155,156,157,157,159,160,161,162,165,166,170,170,174,180,183,183,183,183,184,182,183,185,0,0
"MD:Frederick",0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,4,4,7,14,15,22,24,26,33,35,45,54,73,112,138,151,199,233,289,341,368,417,441,449,504,532,565,596,621,637,664,696,771,820,840,871,876,899,925,949,983,1011,1045,1078,1115,1158,1188,1219,1257,1273,1288,1308,1331,1371,1409,1430,1467,1498,1540,1575,1632,1668,1703,1738,1753,1793,1831,1863,1897,1918,1935,1968,2012,2048,2076,2107,2121,2142,2159,2185,2209,2232,2258,2280,2305,2315,2343,2349,2368,2387,2400,2414,2426,2432,2448,2455,2472,2478,0,0
"MD:Harford",0,1,1,1,1,1,1,2,2,2,2,3,3,5,5,5,5,5,5,9,18,21,23,24,25,34,37,41,44,52,55,59,86,101,110,120,129,142,147,155,165,182,200,215,231,238,273,286,295,309,326,359,365,378,421,443,474,485,497,503,536,556,576,593,609,609,618,633,667,675,681,690,698,712,724,740,749,767,783,792,798,804,830,857,864,885,884,894,904,923,942,950,960,964,972,985,993,994,1007,1012,1022,1026,1035,1039,1044,1055,1059,1063,1067,1075,1081,1081,1093,1099,0,0
